"ID","treeID","creatorID","specID","height","DBH","plot","level"
1060,"r00984","SBSF","BUR",27,0.11,"fs-015",6
1061,"r00985","SBSF","BUR",27,0.29,"fs-015",6
1063,"r00987","SBSF","AHB",27,0.16,"fs-015",6
1064,"r00988","SBSF","AHB",27,0.14,"fs-015",6
1065,"r00989","SBSF","BUR",27,0.16,"fs-015",6
1067,"r00991","SBSF","BUR",27,0.18,"fs-015",6
1068,"r00992","SBSF","BUR",27,0.13,"fs-015",6
1069,"r00993","SBSF","BUR",27,0.18,"fs-015",6
1070,"r00994","SBSF","BUR",27,0.11,"fs-015",6
1071,"r00995","SBSF","BUR",27,0.25,"fs-015",6
1072,"r00996","SBSF","BUR",27,0.18,"fs-015",6
1073,"r00997","SBSF","BUR",27,0.18,"fs-015",6
1074,"r00998","SBSF","BUR",27,0.13,"fs-015",6
1075,"r00999","SBSF","BUR",27,0.09,"fs-015",6
1076,"r00767","jk","BUR",NA,0.45,"fs-010",NA
1077,"r08900","FMLRS","EIS",18,1.63,"fs-051",4
1078,"r00141","FMLRS","HBU",13.8,0.7,"fs-051",3
1079,"r00135","FMLRS","HBU",17.5,0.76,"fs-051",4
1080,"r00681","FMLRS","HBU",17.9,0.73,"fs-051",4
1081,"r00885","FMLRS","HBU",11.1,0.85,"fs-051",3
1082,"r00137","FMLRS","BUR",18.1,0.76,"fs-051",4
1083,"r00808","FMLRS","BUR",20.9,1.26,"fs-051",5
1084,"r00016","FMLRS","BUR",13.8,0.68,"fs-051",3
1085,"r00012","FMLRS","BUR",14.6,0.55,"fs-051",3
1086,"r00139","FMLRS","HBU",11.8,0.76,"fs-051",3
1087,"r00911","FMLRS","EIS",23,1.71,"fs-051",5
1088,"r00901","FMLRS","BUR",9.6,0.49,"fs-051",2
1089,"r00844","FMLRS","BUR",38.575,1.86,"fs-052",8
1090,"r00841","FMLRS","BUR",26.2,0.65,"fs-052",6
1091,"r00893","FMLRS","BUR",23.95,0.65,"fs-052",5
1092,"r00916","FMLRS","HBU",19.575,0.39,"fs-052",4
